fname,lname,year,stint,team,league,AB,H,HR,SB,BB,SO,HBP,PA
Larry,Bowa,1970,1,PHI,NL,547,137,0,24,21,48,0,578
Clete,Boyer,1970,1,ATL,NL,475,117,16,2,41,71,1,533
John,Briggs,1970,1,PHI,NL,341,92,9,5,39,65,0,392
Ed,Brinkman,1970,1,WS2,AL,625,164,1,8,60,41,5,695
Lou,Brock,1970,1,SLN,NL,664,202,13,51,60,99,1,741
Byron,Browne,1970,1,PHI,NL,270,67,10,1,33,72,0,312
Ollie,Brown,1970,1,SDN,NL,534,156,23,5,34,78,0,585
Don,Buford,1970,1,BAL,AL,504,137,17,16,109,55,8,637
Bob,Burda,1970,2,ML4,AL,222,55,4,1,16,17,3,247
Johnny,Callison,1970,1,CHN,NL,477,126,19,7,60,63,3,554
Bert,Campaneris,1970,1,OAK,AL,603,168,22,42,36,73,4,651
Dave,Campbell,1970,1,SDN,NL,581,127,12,18,40,115,1,637
Chris,Cannizzaro,1970,1,SDN,NL,341,95,5,2,48,49,1,405
Bernie,Carbo,1970,1,CIN,NL,365,113,21,10,94,77,4,476
Jose,Cardenal,1970,1,SLN,NL,552,162,10,26,45,70,1,599
Leo,Cardenas,1970,1,MIN,AL,588,145,11,2,42,101,4,651
Rod,Carew,1970,1,MIN,AL,191,70,4,4,11,28,2,204
Rico,Carty,1970,1,ATL,NL,478,175,25,1,77,46,2,566
Paul,Casanova,1970,1,WS2,AL,328,75,6,0,10,47,1,345
Dave,Cash,1970,1,PIT,NL,210,66,1,5,17,25,1,233
Norm,Cash,1970,1,DET,AL,370,96,15,0,72,58,5,458
Danny,Cater,1970,1,NYA,AL,582,175,6,4,34,44,2,627
Cesar,Cedeno,1970,1,HOU,NL,355,110,7,17,15,57,2,379
Orlando,Cepeda,1970,1,ATL,NL,567,173,34,6,47,75,9,638
Horace,Clarke,1970,1,NYA,AL,686,172,4,23,35,35,2,737
Roberto,Clemente,1970,1,PIT,NL,412,145,14,3,38,66,2,469
Donn,Clendenon,1970,1,NYN,NL,396,114,22,4,39,91,1,447
Nate,Colbert,1970,1,SDN,NL,572,148,38,3,56,150,4,644
Dave,Concepcion,1970,1,CIN,NL,265,69,1,10,23,45,3,301
Billy,Conigliaro,1970,1,BOS,AL,398,108,18,3,35,73,7,444
Tony,Conigliaro,1970,1,BOS,AL,560,149,36,4,43,93,8,621
Willie,Crawford,1970,1,LAN,NL,299,70,8,4,33,88,2,340
Tim,Cullen,1970,1,WS2,AL,262,56,1,3,31,38,3,307
Vic,Davalillo,1970,1,SLN,NL,183,57,1,4,13,19,0,200
Tommy,Davis,1970,1,HOU,NL,213,60,3,8,7,25,0,221
Tommy,Davis,1970,2,OAK,AL,200,58,1,2,8,18,1,214
Willie,Davis,1970,1,LAN,NL,593,181,8,38,29,54,1,639
Dick,Dietz,1970,1,SFN,NL,493,148,22,0,109,106,3,622
Denny,Doyle,1970,1,PHI,NL,413,86,2,6,33,64,0,452
Dave,Duncan,1970,1,OAK,AL,232,60,10,0,22,38,0,260
Johnny,Edwards,1970,1,HOU,NL,458,101,7,1,51,63,1,531
Tom,Egan,1970,1,CAL,AL,210,50,4,0,14,67,1,229
John,Ellis,1970,1,NYA,AL,226,56,7,0,18,47,2,249
Mike,Epstein,1970,1,WS2,AL,430,110,20,2,73,117,9,524
Andy,Etchebarren,1970,1,BAL,AL,230,56,4,4,21,41,3,258
Jim,Fairey,1970,1,MON,NL,211,51,3,1,14,38,2,235
Ron,Fairly,1970,1,MON,NL,385,111,15,10,72,64,4,480
Frank,Fernandez,1970,1,OAK,AL,252,54,15,1,40,76,2,298
Al,Ferrara,1970,1,SDN,NL,372,103,13,0,46,63,11,432
Ray,Fosse,1970,1,CLE,AL,450,138,18,1,39,55,1,502
Roy,Foster,1970,1,CLE,AL,477,128,23,3,54,75,12,549
Joe,Foy,1970,1,NYN,NL,322,76,6,22,68,58,4,404
Bill,Freehan,1970,1,DET,AL,395,95,16,0,52,48,4,463
Jim,Fregosi,1970,1,CAL,AL,601,167,22,0,69,92,3,682
Jim,French,1970,1,WS2,AL,166,35,1,0,38,23,0,208
Tito,Fuentes,1970,1,SFN,NL,435,116,2,4,36,52,3,493
Al,Gallagher,1970,1,SFN,NL,282,75,4,2,30,37,0,322
Oscar,Gamble,1970,1,PHI,NL,275,72,1,5,27,37,1,308
Wayne,Garrett,1970,1,NYN,NL,366,93,12,5,81,60,2,460
Gil,Garrido,1970,1,ATL,NL,367,97,1,0,15,16,0,392
Cito,Gaston,1970,1,SDN,NL,584,186,29,4,41,142,2,631
Tony,Gonzalez,1970,1,ATL,NL,430,114,7,3,46,45,8,497
Jim,Gosger,1970,1,MON,NL,274,72,5,5,35,35,1,315
Billy,Grabarkewitz,1970,1,LAN,NL,529,153,17,19,95,149,6,648
Dick,Green,1970,1,OAK,AL,384,73,4,3,38,73,3,437
Jerry,Grote,1970,1,NYN,NL,415,106,2,2,36,39,1,471
Cesar,Gutierrez,1970,1,DET,AL,415,101,0,4,18,39,1,457
Joe,Hague,1970,1,SLN,NL,451,122,14,2,63,87,1,527
Tom,Haller,1970,1,LAN,NL,325,93,10,3,32,35,2,372
Tommy,Harper,1970,1,ML4,AL,604,179,31,38,77,107,4,697
Bud,Harrelson,1970,1,NYN,NL,564,137,1,23,95,74,3,686
Jim Ray,Hart,1970,1,SFN,NL,255,72,8,0,30,29,3,298
Richie,Hebner,1970,1,PIT,NL,420,122,11,2,42,48,7,480
